0,1,1,1,1,1,1,1,1,1,1,1,1,2
23,24,24,24,24,24,24,24,24,24,24,24,24,25
69,70,49,50,70,70,49,50,70,70,49,50,70,70
92,93,72,73,93,93,72,73,93,93,72,73,93,93
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
23,24,24,24,24,24,24,24,24,24,24,24,24,25
46,47,47,47,47,47,47,47,47,47,47,47,47,48
