0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,6,6,6,5,6,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,6,6,6,4,6,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,0,2,0,3,0,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0
0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
