47,48,49,42,41,0,1,1,1,2,2,47,48
47,48,49,42,41,40,41,83,41,42,42,47,48
47,48,49,82,41,40,41,41,41,42,42,47,48
247,248,249,122,41,5,3,3,3,5,42,47,48
247,647,249,162,41,85,43,43,43,85,42,47,48
367,128,369,41,41,41,41,41,41,41,42,47,48
47,128,49,41,41,41,41,81,81,81,82,47,48
47,169,127,41,41,41,42,7,8,8,8,48,48
47,48,49,41,41,41,42,47,88,0,1,2,88
47,48,49,640,641,641,642,328,0,40,83,42,2
47,48,49,680,681,681,682,328,40,5,3,5,42
208,48,207,8,8,8,8,49,40,85,41,85,42
48,48,48,48,48,48,48,49,80,81,81,81,82
