13,0,0,0,0,0,0,0,0,0,0,0,13
13,0,0,0,0,0,0,0,0,0,0,0,13
13,0,0,0,0,0,0,0,0,0,0,0,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,4,4,4,2,2,2,2,13
13,2,2,2,2,4,4,4,2,2,2,2,13
13,2,2,2,2,4,4,4,2,2,2,2,13
13,2,2,2,2,0,4,0,2,2,2,2,13
13,2,2,2,2,2,4,2,2,2,2,2,13
13,2,2,2,2,2,4,2,2,2,2,2,13
13,2,2,2,2,4,4,4,2,2,2,2,13
13,2,2,2,2,4,4,4,2,2,2,2,13
13,2,2,2,2,0,3,0,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,2,2,2,2,2,2,2,2,13
13,2,2,2,13,13,13,13,13,2,2,2,13
13,13,13,13,13,13,13,13,13,13,13,13,13
